Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	40.264126	26.857355	114.11691	4.1018043	53.183117	21.823711	94.92378	22.069342	200.0	200.0	160000	97.6848	8.538459	141.73622	32.80004	-98.44374	0.79559404	1291.365933418274
33	15.352143	31.134092	119.44441	0.13940856	1.272161	1.0866823	3.85474	0.26787883	200.0	200.0	165000	97.83756	8.47042	145.512	37.88594	-98.7719	0.98199874	1330.9444181919098
34	0.71658236	0.692311	3.9044073	0.1305884	0.7985917	0.09938466	1.0130941	0.6414997	200.0	200.0	170000	106.23741	11.79911	142.25282	47.698677	-107.679924	1.2664372	1369.7082030773163
35	0.70895284	0.44562608	1.6298965	0.13929068	0.2695138	0.076929964	0.43458962	0.1601682	200.0	200.0	175000	116.505615	13.317541	143.35017	64.5394	-117.67155	1.1982603	1407.1407606601715
36	5.360277	5.2858577	19.11738	0.2079637	8.473589	3.8059072	15.656721	3.1838858	200.0	200.0	180000	114.18097	11.089928	140.07455	66.08028	-114.91132	0.889011	1444.7204229831696
37	32.044758	47.597095	200.1304	2.73401	95.24955	34.093204	131.84995	4.3866286	200.0	200.0	185000	105.30409	9.48857	137.54303	63.69291	-105.874275	0.7629097	1485.9054446220398
38	54.81047	40.147118	122.96046	4.3327394	92.0621	79.01265	199.57996	8.279474	200.0	200.0	190000	98.228035	9.237939	133.58073	27.805637	-98.84422	0.72926867	1527.1178708076477
39	82.67462	49.8362	190.77737	7.184528	67.272415	63.51538	198.8817	4.5265126	200.0	200.0	195000	94.19198	9.79074	131.50858	29.320705	-94.87549	0.7577042	1569.4285912513733
40	36.6696	41.16749	117.83069	0.2162065	0.19659244	0.055208545	0.29580882	0.11392121	200.0	200.0	200000	93.485596	10.167415	134.81783	29.55194	-94.57229	0.92690974	1610.0142436027527
41	1.2862897	1.9194133	7.9849644	0.14975378	1.8674208	0.6842694	3.0883253	1.0066268	200.0	200.0	205000	107.553314	16.285982	136.71059	33.297737	-108.9394	1.3392326	1648.6603350639343
42	51.031883	32.262455	108.14949	0.5597258	42.587543	20.25545	80.14991	4.7640305	200.0	200.0	210000	109.48341	13.664303	130.71416	32.082596	-110.39178	0.94445276	1691.3141660690308
43	59.9047	32.71922	117.55167	6.5353146	53.339954	36.38387	101.06271	6.6750803	200.0	200.0	215000	106.30814	10.812903	137.78545	29.093832	-107.06971	0.76342005	1736.44983792305
44	64.18387	40.87587	138.78777	3.7069013	88.358154	48.817795	196.79634	11.796167	200.0	200.0	220000	101.92321	8.604673	137.20973	43.77621	-102.6039	0.6877736	1782.3496193885803
45	66.32939	36.403004	134.05864	0.36766535	27.850407	30.24489	78.38815	6.095673	200.0	200.0	225000	97.57041	7.51632	140.7863	40.26609	-98.23014	0.63076425	1825.5989699363708
46	37.745	46.205162	121.42717	0.27543214	0.46585402	0.155824	0.658639	0.23172882	200.0	200.0	230000	96.95903	8.542326	182.00746	40.84622	-98.03279	0.7670224	1868.6394276618958
47	1.0237333	0.8303386	3.9273458	0.3279632	0.5911807	0.07520121	0.7359615	0.4710017	200.0	200.0	235000	114.48856	15.30996	185.97127	40.66553	-116.73087	1.4959245	1909.7440214157104
48	1.3176531	1.0206074	3.6224844	0.25791836	3.3403542	1.6726233	8.185501	2.3606215	200.0	200.0	240000	141.6701	17.861137	179.5072	46.650883	-143.30267	2.09833	1950.5072631835938
49	10.648839	26.88399	104.66525	0.19980747	0.16288124	0.03870466	0.23944816	0.10754052	200.0	200.0	245000	139.70985	13.145746	230.86221	45.12651	-140.95998	1.9725344	1993.1192469596863
50	0.3513932	0.10971485	0.5557079	0.15598729	0.451681	0.07854875	0.59998906	0.32147956	200.0	200.0	250000	158.72194	25.020205	223.18405	41.33767	-161.43105	3.4566898	2032.0940029621124
51	0.42044708	0.24414735	1.3687074	0.110577084	0.18940046	0.082996264	0.40642068	0.13300565	200.0	200.0	255000	170.16174	24.076786	206.03543	55.225437	-171.72722	2.4931269	2069.856083393097
52	1.4241983	3.1768427	14.658821	0.083382554	24.57088	20.307022	61.696823	4.432573	200.0	200.0	260000	162.48965	17.824646	198.32687	65.914215	-163.48282	1.7043025	2109.110593318939
53	4.556487	8.431723	42.886074	0.34619576	4.307731	2.3748925	7.6457844	0.8049754	200.0	200.0	265000	148.2403	12.873206	194.81256	65.38371	-149.07625	1.3751838	2149.8416357040405
54	3.9563165	5.08226	19.26259	0.30862194	0.3592048	0.07648413	0.4449617	0.19726297	200.0	200.0	270000	138.31172	11.689197	196.32538	59.07778	-139.50902	1.7204874	2190.8770701885223
55	0.34269974	0.12664883	0.6773267	0.16213234	0.14814632	0.053127825	0.24345668	0.09194424	200.0	200.0	275000	146.48276	16.510344	195.87724	57.99434	-148.29857	2.2066622	2231.875188112259
56	0.20474638	0.08164693	0.47632846	0.10206984	0.22215435	0.06362521	0.38285705	0.13827068	200.0	200.0	280000	151.6492	16.519907	197.77866	60.148945	-153.00134	2.1301963	2270.1336238384247
57	1.7973752	1.8046452	6.0029116	0.2453768	1.42736	0.27883303	1.7919868	0.8755851	200.0	200.0	285000	144.41446	13.647119	194.24274	66.07074	-145.32915	1.5950971	2309.234872341156
58	6.851615	15.95438	76.04936	0.36442584	1.3536136	0.17728488	1.6392401	1.0630312	200.0	200.0	290000	138.54834	13.781291	193.80057	66.87557	-139.72356	1.6048928	2350.3617734909058
59	18.39242	17.500359	72.81205	0.30214608	33.696445	7.7124705	48.217907	20.813828	200.0	200.0	295000	131.66087	14.070259	185.14613	61.391838	-132.5263	1.4712834	2392.4336273670197
60	16.271795	21.857214	69.566154	0.38564518	0.47072998	0.11319405	0.7102732	0.34522942	200.0	200.0	300000	124.05496	12.789437	202.61674	42.063217	-125.18736	1.6030103	2432.577746629715
61	0.42745888	0.16358571	0.69563556	0.141906	0.33379358	0.083919354	0.48633498	0.22555257	200.0	200.0	305000	138.41194	19.754332	197.21695	45.70091	-140.34581	2.6447468	2473.8168308734894
62	0.28376985	0.10563683	0.5450044	0.12530763	0.17515504	0.035856165	0.25444525	0.13413744	200.0	200.0	310000	141.37833	14.876074	188.48607	46.074554	-142.65778	2.0718694	2515.064219713211
63	0.20515995	0.089325376	0.49983853	0.071402065	0.47071704	0.11480618	0.65239495	0.32458726	200.0	200.0	315000	140.15382	14.209697	171.09947	29.262459	-141.23605	1.6324244	2554.307516813278
