Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-105587.51	48629.55	-44919.613	-344299.56	1000.0	-6765.2773	4104.1016	-342.56854	-60656.984	1350000	-1.8310546e-09	56629476.0	-0.025695452	-1232324.0	6.0339656	0.015242732	0.11544	48.0	1077.530130147934
27	-110362.43	46766.887	-54864.31	-255648.78	1000.0	-7233.017	4425.5737	-339.10562	-64114.645	1400000	4.0893553e-08	55175508.0	-0.027881173	-778080.0	6.0135713	0.013108322	0.12378	79.0	1117.6101758480072
28	-102474.46	29036.984	-48840.008	-169757.27	1000.0	-6790.2217	4477.415	-335.69324	-64472.36	1450000	-1.7700195e-08	36500460.0	-0.027710568	-775872.0	5.9712787	0.014680059	0.12528	67.0	1157.5997095108032
29	-88661.95	29342.494	-46095.117	-203674.81	1000.0	-6074.62	4357.705	-322.5904	-64017.297	1500000	-2.2583007e-08	27950764.0	-0.027216928	-1029592.0	5.9725037	0.012731121	0.12278	79.0	1197.6036365032196
30	-90745.7	28054.22	-43299.72	-165332.0	1000.0	-5869.3613	4248.9565	-299.47827	-55556.727	1550000	1.953125e-08	27573284.0	-0.027278066	-581540.0	5.915211	0.012664173	0.12242	79.0	1237.9066553115845
31	-89330.52	29089.31	-44056.777	-207726.03	1000.0	-5344.19	4287.3467	-284.78378	-58986.62	1600000	-1.4648437e-08	29287022.0	-0.027053632	-417664.0	5.8966155	0.01129983	0.1106	79.0	1277.9051835536957
32	-90355.87	30709.977	-41246.688	-199758.33	1000.0	-5277.1123	4328.737	-277.95523	-70714.45	1650000	-7.3242186e-09	30323940.0	-0.028191218	-431542.0	5.8699794	0.012296559	0.11268	79.0	1318.0487926006317
33	-81747.68	31295.957	-45205.2	-222281.88	1000.0	-5002.263	4368.797	-274.69934	-61206.59	1700000	0.0	25903376.0	-0.026659722	-608986.0	5.8497977	0.012291658	0.11308	79.0	1358.1300959587097
34	-80844.77	26502.945	-40743.516	-178994.95	1000.0	-4789.168	4172.5156	-110.641396	-60200.15	1750000	-2.8152465e-08	25719354.0	-0.026820028	-448290.0	5.8225875	0.011622008	0.11274	79.0	1398.4242174625397
35	-82787.84	29410.838	-41020.95	-175779.77	1000.0	-4647.5415	4188.26	-249.96283	-60820.613	1800000	1.8310548e-08	27051310.0	-0.028313993	-360818.0	5.8010764	0.013624351	0.12244	79.0	1438.558774471283
36	-78347.17	27510.256	-34683.633	-168353.4	1000.0	-4252.985	4352.5444	-246.79118	-60777.15	1850000	1.5563964e-08	29099062.0	-0.027750148	-462246.0	5.7469344	0.011842262	0.1156	79.0	1478.8873009681702
