Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
23	0.054392137	9.134286e-05	0.054482996	0.054226313	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	115000	0.67483574	0.101623915	1.1154443	0.38616395	0.67483586	0.101622745	1.1148291	0.38570136	-0.6726164	7.395188e-06	437.873948097229
24	0.054622523	0.00031973424	0.055127177	0.054156933	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	120000	0.55926406	0.07329421	0.8816117	0.33742142	0.55926436	0.07329259	0.8819354	0.33740735	-0.55792516	4.5762818e-06	459.23026061058044
25	0.05453998	0.0002673953	0.05489402	0.054159056	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	125000	0.46958423	0.053582072	0.7115049	0.2936137	0.46958432	0.053581394	0.70741975	0.2954415	-0.4683918	2.909797e-06	480.71352458000183
26	0.05455365	0.00025762443	0.05490088	0.054204766	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	130000	0.40122455	0.040805567	0.57775056	0.26423642	0.40122455	0.040805195	0.5766283	0.26456752	-0.40068668	1.945593e-06	501.9158992767334
27	0.05443623	0.00017273484	0.05470275	0.054227594	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	135000	0.34639734	0.031838704	0.49113417	0.2414186	0.34639743	0.031838235	0.49128717	0.24119575	-0.34576854	1.5697393e-06	523.2880671024323
28	0.054525454	0.00018333456	0.054735526	0.054284044	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	140000	0.3008089	0.023969103	0.41223007	0.23150721	0.3008089	0.02396832	0.41097212	0.23265642	-0.30032548	1.1596434e-06	544.9138879776001
29	0.054716688	0.00018935758	0.05487568	0.05435096	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	145000	0.26096866	0.01928108	0.36148524	0.19451949	0.26096842	0.019279249	0.3602723	0.19483303	-0.2603277	9.765292e-07	566.4257154464722
30	0.05436194	0.0002408928	0.054628905	0.054036766	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	150000	0.23059902	0.013421291	0.297491	0.18463984	0.23059906	0.01341992	0.2983898	0.18445759	-0.23074615	6.02745e-07	588.0121581554413
31	0.054621946	0.00031584557	0.054971397	0.054225266	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	155000	0.20952702	0.009164233	0.2896358	0.17639928	0.20952699	0.009167216	0.28814286	0.17658782	-0.21054964	6.635834e-07	609.4956874847412
32	0.054621745	0.00022112485	0.055008184	0.05438924	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	160000	0.1889195	0.010331272	0.27318934	0.15528463	0.18891944	0.010334564	0.27486485	0.15582164	-0.1912319	4.945177e-07	631.1570477485657
33	0.054404985	0.00019118586	0.054715425	0.05421356	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	165000	0.16951421	0.012418368	0.23251891	0.13647102	0.16951421	0.012420708	0.23150675	0.13620692	-0.17345339	4.8593284e-07	652.9975664615631
34	0.054791756	6.24728e-05	0.054875806	0.05470221	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	170000	0.15193096	0.013819673	0.21704432	0.11973855	0.15193097	0.013822296	0.21786639	0.11986434	-0.1570943	6.2259613e-07	674.6820282936096
35	0.054546267	0.00020247049	0.054801643	0.054216325	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	175000	0.13609041	0.014523238	0.20607741	0.095549226	0.13609041	0.014526502	0.20647702	0.09475565	-0.1411144	7.585187e-07	696.0744051933289
36	0.054547764	0.000102472084	0.054732677	0.05445363	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	180000	0.1215164	0.016339632	0.19626418	0.03147254	0.121516384	0.016338827	0.19413769	0.033244662	-0.1244591	1.0968422e-06	717.5861365795135
37	0.05468466	0.00013006826	0.05488148	0.054491248	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	185000	0.10443693	0.022259625	0.19532046	-0.045382775	0.104436964	0.022260597	0.19604331	-0.041625477	-0.10730691	1.5532036e-06	739.0142333507538
38	0.054567583	0.00015162776	0.054774832	0.05440829	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	190000	0.093289316	0.022493035	0.21103022	-0.044091687	0.09328927	0.02249642	0.20911948	-0.044185363	-0.0956073	1.2004012e-06	760.557944059372
39	0.054459304	0.0002727101	0.05480942	0.054003242	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	195000	0.0836348	0.020011602	0.24548718	-0.040982887	0.08363477	0.020016843	0.23698059	-0.04067439	-0.08488936	1.9774297e-06	782.4709100723267
