Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	7.293184	3.7143598	13.775344	1.2589973	200.0	1.3681328	1.6208652	7.7263722	-1.0904909	112000	-3.7252903e-08	2.2184312	-0.04350306	-1.5315762	7.1029377	0.014305664	0.29125	79.0	328.9433808326721
28	11.192832	6.254043	22.242205	1.6128647	200.0	2.0936363	1.980029	8.910663	-1.1427698	116000	3.7252903e-09	5.3140364	-0.022042993	-3.2161748	7.0306683	0.015639251	0.24849999	16.0	341.25671434402466
29	9.927101	5.4320197	21.143604	0.9894568	200.0	1.7164938	2.0884104	9.735565	-1.1233615	120000	-1.4901161e-08	4.696847	-0.024209931	-3.2313948	7.082393	0.016570993	0.22575	13.0	353.5047016143799
30	11.553732	8.566821	41.89189	4.926624	200.0	2.1782224	2.5474644	11.402493	-3.1700625	124000	-2.9802322e-08	8.251081	-0.015504796	-6.148868	7.0601254	0.016424656	0.2025	6.0	365.98331809043884
31	12.055057	4.905705	19.823061	4.8861265	200.0	3.3789835	3.202012	16.005579	-2.9600377	128000	1.4901161e-08	7.6383247	-0.009831592	-5.701813	7.0422683	0.013497302	0.18775001	4.0	378.10357427597046
32	13.079862	5.786973	23.856873	2.9673882	200.0	2.984777	2.3473687	10.333754	-3.1552098	132000	-1.8626451e-08	4.7312922	-0.025640005	-2.8388782	7.002785	0.017773794	0.277	15.0	390.1640372276306
33	16.05383	5.5209346	25.17367	5.576323	200.0	2.616894	2.5150445	12.131094	-2.375284	136000	-1.8626451e-08	12.725234	-0.024100943	-10.298839	7.0736513	0.015646746	0.22925	14.0	402.3223340511322
34	19.421314	8.865733	39.363144	6.2522244	200.0	5.3905306	2.869461	14.686214	-0.81925523	140000	-2.142042e-08	13.347107	-0.027382264	-8.039803	7.0046473	0.015539396	0.208	21.0	414.52341413497925
35	15.770538	6.9665933	33.98391	4.7614408	200.0	5.0809903	4.010418	16.825552	-3.1060226	144000	0.0	9.838116	-0.02002699	-7.3380246	6.9841685	0.01665083	0.22625	8.0	426.81048345565796
36	16.710665	7.1061416	31.865166	8.090596	200.0	4.418742	3.7949069	18.295193	-2.279901	148000	1.3969839e-08	8.996876	-0.013048307	-6.885787	6.993186	0.018878147	0.22049999	5.0	439.0146098136902
37	18.841682	8.744803	34.37616	3.9460833	200.0	7.868206	3.0129259	19.589132	-1.6502324	152000	0.0	12.304441	-0.006838843	-7.4481583	6.9592814	0.0192324	0.237	3.0	451.36839962005615
38	24.288204	10.67022	52.719917	8.65457	200.0	7.965244	3.2181523	16.04097	-0.63567686	156000	3.7252903e-09	16.56304	-0.011865523	-10.0463505	7.014426	0.014101624	0.16375	5.0	463.8005702495575
39	19.704899	9.041711	40.778618	5.4961176	200.0	8.197743	4.0751534	19.22561	1.0664229	160000	1.4901161e-08	16.353127	-0.021480631	-10.748938	6.918806	0.016262835	0.23949999	12.0	476.1048946380615
40	29.004078	12.831789	49.327232	1.7648981	200.0	10.734163	4.8444357	20.375534	-0.3280984	164000	-3.7252903e-09	21.258045	-0.019259026	-13.078039	6.9653	0.015939377	0.214	12.0	488.81843304634094
41	29.916454	12.5625105	59.62417	10.463416	200.0	10.867242	6.156518	22.598242	-3.4409716	168000	-3.7252903e-09	31.757643	-0.009176634	-22.054632	7.0217094	0.0143246	0.18025	4.0	501.3589999675751
42	32.940308	11.960855	55.56227	9.505188	200.0	10.847114	5.6297936	22.940105	-2.658931	172000	-3.0733645e-08	30.641262	-0.017287767	-18.411541	6.9113607	0.017313235	0.17475	9.0	513.8942818641663
43	27.440649	10.958538	47.003532	7.197561	200.0	12.122474	5.561228	23.030914	-0.90543485	176000	-3.7252903e-09	22.145073	-0.024719391	-15.807493	6.9077787	0.016053656	0.23124999	17.0	526.4883937835693
44	30.023687	9.862528	51.288017	10.965112	200.0	10.603078	4.9091516	20.848528	-5.491278	180000	1.4901161e-08	23.376312	-0.016665936	-15.007103	6.97562	0.017618971	0.21575	9.0	539.7957763671875
45	39.339867	14.654733	59.02385	4.796062	200.0	12.335682	4.051159	23.41855	1.9967358	184000	4.656613e-10	36.303535	-0.040561423	-24.290056	6.905205	0.01511394	0.21375	74.0	553.1337110996246
46	38.168503	11.696395	57.69487	4.9625306	200.0	13.719245	5.033399	23.82354	1.6877964	188000	-4.656613e-09	30.995956	-0.020387383	-22.088156	6.811614	0.015573245	0.205	13.0	565.8892414569855
47	39.408962	12.239447	68.40972	14.093049	200.0	18.217867	3.1111057	24.714912	7.866219	192000	-1.3038516e-08	26.02164	-0.030073639	-10.873106	6.9071517	0.015150485	0.1925	37.0	579.3278729915619
48	37.36271	14.051232	64.06664	5.743877	200.0	17.759571	4.116808	25.894949	1.4423741	196000	-1.8626451e-09	29.79847	-0.009529108	-18.240192	6.8674226	0.017358791	0.20899999	4.0	592.1815373897552
49	44.94401	14.887553	68.72592	7.7305937	200.0	18.059965	3.984624	25.993046	2.2291858	200000	2.2351742e-08	26.380634	-0.012148596	-14.941901	6.888563	0.013653671	0.168	5.0	604.8049006462097
