# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
149.435658,1000,271.865556
125.12805,1000,273.026269
79.815422,1000,274.14371
165.177947,1000,275.227045
111.881882,1000,276.368664
110.964071,1000,277.489967
51.37488,1000,278.598803
14.838036,1000,279.696879
29.346983,1000,280.774077
103.609231,1000,281.89489
10.302095,1000,283.039332
10.730816,1000,284.189913
9.748439,1000,285.317961
18.024031,1000,286.440967
49.077365,1000,287.528669
15.939737,1000,288.655201
83.734947,1000,289.729848
69.354011,1000,290.870594
46.271025,1000,291.966376
15.769559,1000,293.034024
61.305718,1000,294.08023
135.123823,1000,295.159106
61.385498,1000,296.269175
45.428273,1000,297.367012
18.864037,1000,298.434666
74.425306,1000,299.563169
81.642612,1000,300.683385
17.645176,1000,301.772414
50.940395,1000,302.84246
15.585209,1000,303.897486
8.981666,1000,304.981769
72.812584,1000,306.107831
14.00138,1000,307.235054
71.65638,1000,308.355177
9.624745,1000,309.456056
13.885093,1000,310.527176
187.112739,1000,311.637046
26.861277,1000,312.739934
45.03082,1000,313.824642
135.274847,1000,314.942375
16.089479,1000,316.060832
146.043118,1000,317.213476
21.344232,1000,318.300946
12.964166,1000,319.396771
56.78379,1000,320.467767
12.476037,1000,321.554837
167.351838,1000,322.683441
73.291828,1000,323.79007
132.825323,1000,324.894957
27.443962,1000,325.977422
134.642647,1000,327.091985
202.059959,1000,328.247004
16.936812,1000,329.339037
121.48735,1000,330.440641
85.518742,1000,331.55203
173.214694,1000,332.673234
37.124695,1000,333.80453
107.238252,1000,334.883755
112.928838,1000,335.969053
12.431907,1000,337.02802
29.720843,1000,338.125007
91.234696,1000,339.21879
121.674678,1000,340.307735
17.608711,1000,341.395077
16.593133,1000,342.488215
23.141243,1000,343.600402
206.088868,1000,344.700945
150.494947,1000,345.789019
83.939978,1000,346.852854
70.822049,1000,347.929801
66.30655,1000,349.03674
147.715469,1000,350.139995
68.085695,1000,351.245902
254.957941,1000,352.340077
63.421958,1000,353.4619
56.092829,1000,354.54739
92.428321,1000,355.64316
44.053349,1000,356.736318
90.23771,1000,357.800197
87.950825,1000,358.876341
164.896759,1000,360.011003
181.352449,1000,361.132238
176.101616,1000,362.256257
54.970331,1000,363.349317
49.668569,1000,364.668214
196.768777,1000,365.970376
56.207404,1000,367.305465
61.070841,1000,368.596251
54.062559,1000,369.942326
48.447995,1000,371.362425
87.211715,1000,372.812619
25.857328,1000,374.183427
58.720152,1000,375.382996
140.063591,1000,376.514982
55.016317,1000,377.616338
43.049959,1000,378.697303
98.157998,1000,379.774692
29.488338,1000,380.891945
75.475921,1000,382.006214
115.263666,1000,383.100313
95.759156,1000,384.182738
56.200575,1000,385.272576
