# {"t_start": 1545445904.3468816, "env_id": null} 
r,l,t
80.806474,1000,273.570748
59.33714,1000,274.707222
61.76235,1000,275.817038
95.836493,1000,276.880598
49.29566,1000,277.957386
48.516896,1000,279.006085
61.976351,1000,280.065346
15.802761,1000,281.126142
42.00057,1000,282.23566
43.963701,1000,283.291125
108.517278,1000,284.344902
8.065903,1000,285.408017
147.211926,1000,286.478028
41.882035,1000,287.551307
92.493658,1000,288.673303
6.955825,1000,289.76493
11.80531,1000,290.874438
12.158454,1000,291.952411
45.862819,1000,293.0783
27.010412,1000,294.197516
45.598598,1000,295.318027
35.132124,1000,296.453209
53.477468,1000,297.598935
8.418381,1000,298.711117
58.173047,1000,299.851041
30.850434,1000,300.996639
23.596346,1000,302.134835
27.792081,1000,303.279605
42.736472,1000,304.401079
40.697675,1000,305.551742
39.233698,1000,306.691777
75.261612,1000,307.828531
6.104407,1000,308.911602
29.237091,1000,310.025958
58.769198,1000,311.107311
96.575321,1000,312.194295
179.799572,1000,313.275451
13.865253,1000,314.330319
37.373385,1000,315.458042
114.686482,1000,316.616973
55.744741,1000,317.753513
51.668094,1000,318.895503
172.866955,1000,320.054232
234.163274,1000,321.226407
55.559578,1000,322.379558
71.476992,1000,323.540683
10.398469,1000,324.606776
79.6454,1000,325.694916
83.384538,1000,326.838203
145.163775,1000,328.002169
66.563416,1000,329.148181
102.524045,1000,330.273229
3.809039,1000,331.40965
185.74257,1000,332.562455
81.226251,1000,333.698572
217.349949,1000,334.846393
67.081656,1000,335.9801
104.705364,1000,337.081789
177.637074,1000,338.203959
105.510314,1000,339.276289
15.91414,1000,340.37498
33.40379,1000,341.540781
25.511078,1000,342.611786
34.381733,1000,343.734779
103.44592,1000,344.840224
119.112714,1000,345.943719
51.002395,1000,347.061526
7.364788,1000,348.186508
125.823265,1000,349.30819
102.491016,1000,350.448852
4.569699,1000,351.572606
48.185312,1000,352.659135
4.469976,1000,353.728942
239.220623,1000,354.820398
234.05377,1000,355.942897
273.162239,1000,357.071178
71.164639,1000,358.163015
208.029324,1000,359.265401
194.606599,1000,360.358251
10.644126,1000,361.382546
195.428032,1000,362.499909
17.495426,1000,363.620234
249.287508,1000,364.703305
96.285144,1000,365.868477
224.636157,1000,366.978395
21.998824,1000,368.083688
230.912981,1000,369.218858
161.949309,1000,370.339284
15.790747,1000,371.436505
194.817193,1000,372.571546
68.046732,1000,373.690334
60.88723,1000,374.814852
91.489334,1000,375.986262
66.363629,1000,377.098995
131.97484,1000,378.213621
88.492195,1000,379.352214
24.333065,1000,380.486968
69.590709,1000,381.671728
233.846408,1000,382.913426
84.114683,1000,384.113415
92.444637,1000,385.27189
70.695658,1000,386.46709
252.98731,1000,387.766628
38.581552,1000,388.952178
57.818978,1000,390.109295
40.148686,1000,391.260294
83.083291,1000,392.405991
115.975171,1000,393.580063
68.561317,1000,394.747437
99.088872,1000,395.940506
80.596375,1000,397.057421
158.483564,1000,398.238974
73.588292,1000,399.32223
217.595173,1000,400.506666
198.448199,1000,401.662486
39.907156,1000,402.821117
219.13644,1000,403.970665
82.316683,1000,405.111074
106.266378,1000,406.255841
152.361503,1000,407.387255
134.971924,1000,408.507147
201.596489,1000,409.630479
186.228344,1000,410.793133
70.439238,1000,411.930841
164.266824,1000,413.045353
176.624446,1000,414.171133
253.980382,1000,415.301825
12.484889,1000,416.355509
41.317021,1000,417.427044
90.167562,1000,418.501798
26.411657,1000,419.595177
131.615187,1000,420.696422
221.764359,1000,421.78561
57.057469,1000,422.892416
15.770455,1000,423.99286
122.795029,1000,425.122526
10.318861,1000,426.225675
19.214404,1000,427.359648
69.114053,1000,428.490222
109.192016,1000,429.623796
263.450758,1000,430.789966
78.105985,1000,431.915606
108.981723,1000,433.034186
170.508987,1000,434.16901
217.367225,1000,435.312744
16.667308,1000,436.457585
66.472244,1000,437.580086
114.480001,1000,438.723997
14.590265,1000,439.874432
35.367421,1000,441.018326
224.510152,1000,442.207707
7.565166,1000,443.392249
192.952962,1000,444.582633
196.076927,1000,445.74756
257.232793,1000,446.946538
377.804988,1000,448.157253
31.487059,1000,449.350209
296.004669,1000,450.494112
231.241611,1000,451.639578
236.280046,1000,452.767005
366.404362,1000,453.941541
208.387423,1000,455.09534
23.882099,1000,456.212029
210.83286,1000,457.343468
374.259853,1000,458.50041
166.625751,1000,459.653739
84.670383,1000,460.799629
54.915952,1000,461.929032
232.758498,1000,463.089479
135.172237,1000,464.254514
63.035758,1000,465.410569
109.165669,1000,466.545233
71.81226,1000,467.705846
286.660099,1000,468.8849
122.791303,1000,470.022551
104.867838,1000,471.149062
210.841158,1000,472.316252
203.291769,1000,473.451401
337.010152,1000,474.619842
170.16395,1000,475.762429
232.355339,1000,476.92714
96.48684,1000,478.064405
229.77659,1000,479.196627
39.54937,1000,480.297879
108.161798,1000,481.443474
65.525838,1000,482.56606
261.820462,1000,483.65813
128.677678,1000,484.798995
206.496608,1000,485.980829
51.793241,1000,487.146106
142.767287,1000,488.303969
157.314472,1000,489.456947
95.914411,1000,490.638269
188.310668,1000,491.795036
252.59697,1000,492.977014
210.314328,1000,494.147095
368.367116,1000,495.262374
107.080708,1000,496.400181
67.41589,1000,497.521781
9.273868,1000,498.671914
72.441504,1000,499.786512
360.82121,1000,500.92835
144.319945,1000,502.03413
213.199446,1000,503.161318
199.043152,1000,504.312414
174.502431,1000,505.434016
145.082004,1000,506.553685
298.742549,1000,507.704656
82.295982,1000,508.866902
142.755049,1000,510.036103
65.866377,1000,511.188877
360.135235,1000,512.31758
246.89607,1000,513.474392
170.907486,1000,514.594004
81.492421,1000,515.707315
106.241094,1000,516.833063
198.268414,1000,517.981639
131.119922,1000,519.094475
133.840028,1000,520.253362
215.46327,1000,521.402364
271.938299,1000,522.563876
103.113011,1000,523.712792
171.449506,1000,524.843748
234.91882,1000,525.992602
351.41592,1000,527.145211
230.581544,1000,528.27585
52.964442,1000,529.385818
134.193409,1000,530.566085
210.681974,1000,531.717863
192.009333,1000,532.877921
218.950219,1000,534.028338
108.842604,1000,535.222127
232.94228,1000,536.375326
40.653955,1000,537.49835
198.620376,1000,538.646937
248.312023,1000,539.785489
204.093157,1000,540.927496
223.563368,1000,542.072853
97.793519,1000,543.19762
45.860274,1000,544.341037
50.13969,1000,545.417948
202.456259,1000,546.563443
36.623218,1000,547.670062
124.868204,1000,548.78525
155.384655,1000,549.918953
155.82641,1000,551.065402
282.2402,1000,552.217793
110.150196,1000,553.332518
12.205386,1000,554.437188
88.907985,1000,555.548115
171.588768,1000,556.662576
98.770618,1000,557.846422
188.214719,1000,559.030031
164.030843,1000,560.212657
107.89529,1000,561.378119
184.461156,1000,562.51239
316.043119,1000,563.640249
101.544814,1000,564.754251
83.46934,1000,565.869562
248.290486,1000,567.017319
356.592058,1000,568.194247
367.711697,1000,569.372397
323.165687,1000,570.501821
202.958816,1000,571.654049
96.719928,1000,572.773016
114.401394,1000,573.90865
148.000905,1000,574.986472
37.700049,1000,576.081662
274.012526,1000,577.255194
73.272379,1000,578.406912
