Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	6.8884344	2.4510765	10.261157	2.4244707	400.0	0.9207213	0.9362925	4.5711756	-1.1602447	112000	-3.7252903e-09	0.53888834	-0.016071621	-0.40913713	7.2530336	0.016595248	0.23225	7.0	290.88544487953186
28	9.279125	4.3056064	15.275933	2.3121903	400.0	1.0225769	1.030164	5.176363	-1.6314585	116000	0.0	1.4552338	-0.017620482	-1.1547557	7.2228003	0.0172799	0.20175	9.0	301.11016869544983
29	9.698587	6.307187	25.245455	3.033717	400.0	1.7084328	1.0178912	7.1631722	-0.64291084	120000	-7.450581e-09	1.9742637	-0.01046069	-1.2832127	7.2868886	0.01769017	0.226	5.0	311.6116497516632
30	7.373637	3.4333966	12.703482	1.1150548	400.0	1.3644457	1.168882	7.397339	-3.3247592	124000	1.6763806e-08	1.1408362	-0.015846089	-0.9268047	7.263014	0.018814355	0.24524999	6.0	321.9225549697876
31	12.26326	6.05463	23.41639	3.6221259	400.0	1.3355769	1.131644	4.945258	-1.4030757	128000	2.0489097e-08	4.4831896	-0.015997412	-4.0369186	7.2421427	0.016257731	0.27425	8.0	332.4348785877228
32	10.141335	4.792041	17.790646	3.174059	400.0	1.9426794	1.4842935	11.092528	-1.4582734	132000	1.4901161e-08	3.061831	-0.014257813	-2.2559881	7.2020073	0.017022762	0.205	8.0	343.18025732040405
33	10.578825	6.056077	21.54793	2.362627	400.0	1.4558347	1.4775065	7.295334	-3.5069127	136000	0.0	3.5761204	-0.025969967	-3.206149	7.2856417	0.01673332	0.25325	14.0	353.7871127128601
34	12.38027	6.747725	22.786036	0.6484881	400.0	1.8061591	1.6127119	8.227131	-1.7626265	140000	-7.625204e-09	2.6112204	-0.011968259	-2.0192587	7.2154856	0.017919844	0.205	5.0	364.35641527175903
35	12.68875	4.151706	22.76661	7.6003346	400.0	1.9932078	1.787439	10.296402	-0.4494787	144000	-7.450581e-09	3.3846827	-0.022194669	-2.6837292	7.2066803	0.016573641	0.21474999	12.0	374.85440492630005
36	10.8162365	3.1910622	15.181996	5.508366	400.0	2.0423002	1.2932389	7.3515487	-1.3784236	148000	1.1175871e-08	1.6529195	-0.016535016	-1.1264417	7.2212625	0.01764166	0.21274999	7.0	385.12080430984497
