Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	19.432585	11.952126	37.26913	0.7438991	300.0	6.143862	2.291978	10.214144	0.48588786	112000	1.3351441e-08	7.1889853	-0.021614779	-5.201801	7.1637645	0.01785244	0.2	12.0	456.7195544242859
28	24.091778	7.788178	37.44786	12.480191	300.0	8.129119	1.7697754	12.850056	0.015429825	116000	3.0994414e-08	6.804295	-0.010892793	-3.8463094	7.1908464	0.023019683	0.26925	4.0	473.12249779701233
29	24.168251	10.327122	37.6131	3.5183125	300.0	7.775112	3.1790094	15.832089	-0.40987197	120000	5.722046e-09	8.13612	-0.013866173	-5.2089434	7.090216	0.013401714	0.18925	5.0	489.47564220428467
30	27.015766	13.709005	51.93556	2.69058	300.0	8.4401455	3.8389628	16.308378	-1.0713389	124000	-1.525879e-08	13.093777	-0.020991517	-7.108429	7.1477	0.016733788	0.25975	12.0	506.0674932003021
31	36.492653	15.522224	60.366447	5.200247	300.0	8.822924	3.4858603	17.193783	-1.5283686	128000	-7.629395e-09	31.634457	-0.009695675	-22.019041	7.0816603	0.020104015	0.2555	4.0	522.4710230827332
32	33.310192	11.772616	50.69447	3.937748	300.0	10.485795	4.5948095	24.752352	0.21365225	132000	0.0	14.819178	-0.03232203	-9.114367	7.1177864	0.015115464	0.21025	42.0	538.9964821338654
33	39.951683	12.352687	59.147106	9.209381	300.0	11.8981495	3.7960916	20.07801	0.05505815	136000	2.4795533e-08	20.64893	-0.018656591	-13.253953	7.0447717	0.016241541	0.18175	11.0	555.5710685253143
34	38.248257	20.248478	87.659966	6.576709	300.0	13.376482	4.813018	21.679157	0.4207202	140000	2.861023e-09	36.32065	-0.008848578	-19.491451	7.010912	0.01660117	0.17375	5.0	572.1864428520203
35	38.086678	13.279886	63.730564	10.998965	300.0	14.755483	5.2848177	27.217636	1.4462966	144000	-3.8146972e-08	21.073921	-0.035458613	-13.290626	7.067862	0.011114294	0.21675	79.0	588.8984701633453
36	40.971703	17.691746	81.685425	19.321756	300.0	12.523296	5.573151	24.526964	0.094024986	148000	-1.2397766e-08	20.699718	-0.011726747	-9.380433	7.0104866	0.014554113	0.19825	4.0	605.5044226646423
37	49.418274	15.7485485	72.340576	24.895542	300.0	14.23198	4.889813	24.693186	1.9589643	152000	2.0980835e-08	31.275696	-0.016200082	-21.774673	6.977132	0.01741622	0.1815	10.0	622.2864003181458
38	51.160446	11.55755	75.47609	32.106697	300.0	16.124498	5.243938	25.829567	3.0329318	156000	-2.4795533e-08	22.771294	-0.009742067	-14.589809	6.989379	0.015954746	0.1925	4.0	639.0990839004517
39	60.358128	13.1976	93.23507	43.84235	300.0	18.091637	3.4867053	25.373587	4.040499	160000	-2.9563903e-08	31.4766	-0.018157791	-18.965237	6.965174	0.016512437	0.1745	12.0	656.0492198467255
40	59.154556	16.547512	88.980286	33.407684	300.0	21.780266	3.899028	29.965273	10.421347	164000	9.536743e-09	38.969765	-0.014358455	-21.141113	6.962039	0.014916085	0.169	9.0	673.1296019554138
41	61.31578	14.3597765	96.69815	37.744293	300.0	21.764465	4.082604	28.851694	10.060494	168000	3.8146974e-09	29.772942	-0.00653411	-16.069817	7.014316	0.01491959	0.228	3.0	689.9055116176605
42	39.62252	26.932629	80.60957	2.5756762	300.0	20.031635	5.4070735	30.355944	1.5969833	172000	-3.8146974e-09	53.44749	-0.019040577	-44.130386	7.0073028	0.016213328	0.1815	11.0	706.7626438140869
43	68.16092	18.9949	97.175	36.550774	300.0	21.005207	4.746349	29.969479	5.622682	176000	-4.2915342e-09	35.192585	-0.035639316	-22.883896	6.954075	0.0107998345	0.2015	79.0	723.937638759613
44	65.354065	14.074646	79.33359	31.008492	300.0	23.17774	7.72471	35.528122	-0.02372402	180000	-3.051758e-08	23.334276	-0.009152802	-13.94624	6.9566016	0.020565124	0.25125	3.0	740.9685294628143
45	60.317116	19.730188	93.79103	16.797894	300.0	24.772093	5.1333494	33.982	3.901485	184000	7.629395e-09	41.555534	-0.03750585	-28.182842	7.010745	0.008643267	0.21625	79.0	758.2045996189117
46	73.49566	17.403694	94.0627	32.356224	300.0	24.04471	5.4359593	33.469097	12.876089	188000	-1.525879e-08	31.19102	-0.027579758	-21.604431	6.8999653	0.01527335	0.19175	41.0	775.2430381774902
47	79.73259	13.498454	95.76876	49.051456	300.0	25.576164	5.422326	35.27754	6.296072	192000	-1.0490417e-08	33.22497	-0.017780991	-22.628654	6.9144707	0.01605785	0.2265	12.0	792.370947599411
48	67.41662	16.402618	101.133385	30.42863	300.0	24.79736	4.935974	35.652912	10.621689	196000	-2.4795533e-08	23.809574	-0.010310329	-14.442523	6.837394	0.013919954	0.147	4.0	809.2176003456116
49	73.73496	18.465734	97.96189	37.46625	300.0	23.902185	6.0467796	35.234596	11.544802	200000	1.1444092e-08	21.062256	-0.017661408	-10.929186	6.8442636	0.016421493	0.19625	11.0	826.3599526882172
50	74.066605	15.210162	102.08084	39.918823	300.0	26.984217	5.8041105	36.938328	5.985547	204000	7.629395e-09	20.099478	-0.031661008	-11.610671	6.8433	0.008408545	0.20075	79.0	843.8520653247833
51	66.950584	24.258904	100.77155	20.162868	300.0	25.389032	5.9524574	35.404606	11.044337	208000	1.3351441e-08	40.34832	-0.016066771	-27.889938	6.797871	0.017902318	0.20375	11.0	860.9131782054901
52	72.96699	16.26904	105.827896	54.492992	300.0	23.656061	6.494302	35.088615	7.723316	212000	-1.9073486e-08	24.088192	-0.024394987	-12.591048	6.8247275	0.0156115955	0.22425	26.0	878.0363457202911
53	75.94033	18.168493	114.07135	46.870216	300.0	23.35792	5.966667	34.78875	8.400201	216000	-5.531311e-08	36.418564	-0.016583657	-24.157867	6.7514944	0.018906105	0.2045	11.0	895.2380292415619
54	78.769615	22.91761	113.53655	30.695837	300.0	27.645273	6.6230907	38.65103	12.390013	220000	-7.629395e-09	51.53801	-0.023487553	-33.540306	6.7940054	0.015457351	0.19075	23.0	912.4812664985657
55	90.593124	11.940804	109.840965	70.76174	300.0	27.104048	4.9926624	39.155457	16.227242	224000	2.7656554e-08	36.837357	-0.020420277	-26.429081	6.823929	0.016126793	0.18425	15.0	929.6615750789642
56	72.29888	19.175991	99.91863	42.645256	300.0	30.86573	5.9539165	40.39058	15.84529	228000	-1.1444092e-08	47.201103	-0.03815775	-35.105186	6.7218814	0.0048868796	0.21975	79.0	946.8747789859772
57	65.272514	26.088165	96.243324	14.967382	300.0	24.222734	6.1450243	36.820778	11.563344	232000	3.4809112e-08	32.57008	-0.036673278	-17.247488	6.641795	0.01462483	0.21925	79.0	964.1119210720062
58	82.199234	19.081642	107.04682	35.947178	300.0	25.505402	5.258518	36.927536	11.972872	236000	1.7166137e-08	44.43511	-0.015580163	-32.42797	6.673181	0.016754322	0.20525	9.0	981.4020652770996
59	67.53189	23.039808	100.10609	29.938854	300.0	25.794668	6.3877435	38.56891	9.846452	240000	-1.9073487e-09	36.504196	-0.018867305	-26.20716	6.700636	0.015879339	0.2205	12.0	998.6862843036652
60	77.39286	17.47021	107.436066	53.144638	300.0	27.436985	6.520123	38.927784	9.975993	244000	1.525879e-08	32.38586	-0.005669922	-21.195278	6.661848	0.0184611	0.20125	3.0	1016.1467645168304
61	84.03458	31.622984	156.27032	25.6803	300.0	28.87835	6.898175	39.800148	10.46844	248000	-4.768372e-10	100.31096	-0.030298263	-59.11106	6.6480556	0.011130195	0.20725	79.0	1033.832206249237
62	75.351265	23.759577	106.13777	32.223675	300.0	27.238895	7.0240116	44.810028	9.537267	252000	3.8146974e-09	75.8892	-0.030537086	-49.821228	6.5821466	0.0103102345	0.19825	79.0	1051.2465517520905
63	70.93321	28.449461	108.8439	20.783022	300.0	23.428617	5.945405	40.178764	9.682	256000	2.002716e-08	46.15212	-0.016244711	-29.8273	6.5373983	0.015701804	0.177	6.0	1068.683334827423
64	89.936356	20.55652	116.955414	55.116592	300.0	28.379648	5.23435	41.601265	11.462723	260000	7.629395e-09	31.708876	-0.011123856	-17.68745	6.557748	0.016630469	0.18825	9.0	1085.9951059818268
65	92.99523	19.829386	127.095146	57.785557	300.0	29.145777	6.3580904	41.047684	13.811036	264000	1.9073486e-08	28.086758	-0.014498218	-14.324219	6.533911	0.020690735	0.22625	9.0	1103.5760078430176
66	100.349106	29.979992	154.51646	44.59214	300.0	30.156336	5.7824173	44.965008	10.689662	268000	-1.859665e-08	74.29772	-0.015426905	-39.460854	6.5346026	0.015441355	0.19775	12.0	1121.3721101284027
67	74.67955	25.43842	110.727844	25.952234	300.0	29.891584	8.085417	46.236126	11.154072	272000	2.4795533e-08	40.43575	-0.032678995	-26.817225	6.526919	0.015040064	0.2045	57.0	1138.7034726142883
