Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	14.1087265	8.395189	28.327393	0.8619443	200.0	5.3519654	2.9700017	12.469355	-3.4170113	112000	-1.4901161e-08	14.412067	-0.039353546	-11.300681	7.0998936	0.015067846	0.21900001	49.0	269.14396476745605
28	18.159168	8.890921	31.800076	4.050089	200.0	5.646364	3.1899068	13.452207	-2.8670106	116000	-2.142042e-08	13.397256	-0.01667786	-8.865275	7.0530515	0.018885806	0.18474999	11.0	279.1234061717987
29	18.706684	8.136484	36.95777	4.934382	200.0	6.261919	3.060233	13.052273	-3.7253075	120000	-2.6542693e-08	17.165955	-0.021225754	-9.358977	7.111824	0.016877715	0.20925	12.0	289.0712912082672
30	19.2327	6.537586	29.754013	6.7700377	200.0	8.039326	2.4421382	14.047816	1.7306846	124000	-1.8626451e-09	7.910166	-0.027734272	-4.8172646	7.0832815	0.015676854	0.2155	21.0	299.62640476226807
31	24.440353	10.304994	45.74615	10.998902	200.0	8.151797	2.8237343	14.317909	-3.2354922	128000	5.7043508e-09	18.304523	-0.04071676	-9.293822	7.0627165	0.013523614	0.21474999	79.0	309.8503489494324
32	28.853241	15.643329	71.09032	4.23907	200.0	9.662309	3.4224308	16.987251	0.90735847	132000	2.2351742e-08	35.837925	-0.009636015	-24.165184	6.98972	0.015926111	0.24725	4.0	319.8659620285034
33	29.031677	12.104321	50.963196	6.6560707	200.0	13.389512	4.057992	27.20888	2.61129	136000	1.4901161e-08	32.016117	-0.020870885	-20.273273	7.073916	0.017665153	0.20875001	13.0	330.08374071121216
34	30.558222	12.910301	65.67065	6.75551	200.0	12.864541	3.2577667	20.304699	4.3223195	140000	-7.450581e-09	29.980034	-0.011360459	-20.504402	6.9920087	0.015366071	0.17774999	4.0	340.04379630088806
35	35.339104	10.270222	54.150784	7.023577	200.0	13.669975	4.346881	24.122492	-2.9697363	144000	-1.4901161e-08	38.256916	-0.033558264	-25.534431	6.984001	0.015388165	0.2105	34.0	350.1161940097809
36	38.751007	12.958512	61.370922	18.125353	200.0	16.345528	3.7990196	23.305593	-0.6271328	148000	7.450581e-09	28.823568	-0.0100269625	-17.35261	6.9841323	0.016094148	0.24700001	4.0	360.1485278606415
37	29.61614	13.603176	55.841263	12.936539	200.0	15.436192	4.0418477	23.577652	2.0198727	152000	-3.7252903e-09	34.97637	-0.039825685	-24.642406	6.9578443	0.012723897	0.22725001	79.0	370.4497697353363
38	38.012493	16.661867	73.39652	5.858583	200.0	14.4801035	5.08585	25.683691	1.0125966	156000	1.1175871e-08	32.806423	-0.010360116	-19.63148	6.9743237	0.020703964	0.25825	4.0	380.53143429756165
39	35.59389	16.816574	75.633705	11.0557575	200.0	16.630203	5.7997265	27.661934	0.41767058	160000	1.3038516e-08	35.766304	-0.019802265	-22.357391	6.883355	0.015878797	0.1875	12.0	390.74576568603516
40	40.65946	12.571603	65.451	17.311056	200.0	18.904398	5.7564206	30.451553	0.9577337	164000	2.0489097e-08	29.932823	-0.0066079963	-16.551785	6.9159355	0.0225799	0.23175	3.0	401.366730928421
