Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
15	0.08239644	0.18325627	0.91400146	0.005434755	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	75000	109937760000.0	22059762000.0	199097830000.0	3677120800.0	109943410000.0	22054179000.0	199088830000.0	3684963800.0	112796730000.0	23241335000.0	207119140000.0	3309560600.0	93.565346	2.1207817	97.96329	74.704575	-154292140000.0	7.5135237e+18	7.556545e+18	8.6900255e+20	345.0385398864746
16	0.049145125	0.073514536	0.33099473	0.0042319354	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	80000	133106336000.0	26613754000.0	236003840000.0	3825058300.0	133113340000.0	26607280000.0	236031440000.0	3833216000.0	136488430000.0	28052683000.0	248115350000.0	3193323000.0	93.57133	2.1233428	97.93744	75.91325	-186756430000.0	1.0993965e+19	1.1055373e+19	1.2746258e+21	368.1105616092682
17	0.09780168	0.1909784	0.8040203	0.006277796	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	85000	159074030000.0	32038361000.0	285506600000.0	4085058300.0	159082760000.0	32030444000.0	285497560000.0	4099526400.0	163036430000.0	33721920000.0	295427400000.0	3506973000.0	93.57306	2.1147556	97.907555	76.13025	-223161020000.0	1.5709514e+19	1.5793455e+19	1.8228719e+21	391.35298109054565
18	0.08415303	0.1642299	0.75527537	0.006552244	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	90000	188304210000.0	38349820000.0	336068380000.0	4364780500.0	188315200000.0	38341677000.0	336106160000.0	4377526000.0	192916100000.0	40343770000.0	357066500000.0	3914241800.0	93.57099	2.1155696	97.96315	75.9765	-264095240000.0	2.196501e+19	2.2077265e+19	2.5543378e+21	414.48381304740906
19	0.07314301	0.12380772	0.6086307	0.00922688	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	95000	220811460000.0	45119644000.0	388806150000.0	4681809400.0	220825750000.0	45110882000.0	388856550000.0	4700145700.0	226170290000.0	47452290000.0	409598620000.0	4373426700.0	93.57521	2.1154163	97.965096	77.0932	-309600260000.0	3.0006506e+19	3.0153502e+19	3.5085895e+21	437.6149356365204
20	0.13803047	0.33246267	1.6980935	0.007613654	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	100000	256954660000.0	52488827000.0	457045540000.0	5076567600.0	256972590000.0	52479710000.0	457098000000.0	5087330000.0	263058640000.0	55200840000.0	487617300000.0	4785542000.0	93.57134	2.122113	97.954025	74.073395	-360295430000.0	4.051003e+19	4.0699843e+19	4.7655127e+21	460.7340347766876
21	0.01037328	0.00018705077	0.010411461	0.009456921	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	105000	294697900000.0	61201190000.0	567072200000.0	4699411500.0	294714400000.0	61190267000.0	566915800000.0	4703453700.0	301875040000.0	65183445000.0	543728730000.0	5233591300.0	93.56789	2.1182122	97.90144	76.90989	-399001200000.0	1.4352252e+20	1.4399457e+20	4.7795115e+21	487.24209809303284
22	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	110000	332156080000.0	70935770000.0	615169100000.0	4942076000.0	332188100000.0	70922590000.0	615055160000.0	4924731400.0	341435500000.0	77060900000.0	626544200000.0	5777355300.0	93.57357	2.1210425	97.98494	76.552765	-424226520000.0	1.8378511e+20	1.8437615e+20	3.5987482e+21	513.7353818416595
23	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	115000	374189060000.0	83898740000.0	683682100000.0	16265295000.0	374241600000.0	83887480000.0	683627050000.0	16271906000.0	384963400000.0	90228900000.0	696601000000.0	5800494000.0	93.56875	2.1252093	97.98007	77.39083	-460733380000.0	1.778166e+20	1.7827112e+20	3.243899e+21	540.3597180843353
24	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	120000	421212980000.0	98637210000.0	761375950000.0	9666319000.0	421285950000.0	98631010000.0	761359200000.0	9683979000.0	432656800000.0	104801320000.0	783482100000.0	5294247400.0	93.56962	2.1259282	97.92622	77.21413	-507365900000.0	1.839096e+20	1.8432026e+20	3.3713173e+21	567.0060188770294
25	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	125000	471982800000.0	114655600000.0	846274600000.0	10482431000.0	472069540000.0	114648200000.0	846267940000.0	10600826000.0	484022260000.0	120659780000.0	879901340000.0	4512662000.0	93.56998	2.1201746	97.916794	76.660286	-558734500000.0	1.9359393e+20	1.9403193e+20	3.575533e+21	593.5999972820282
26	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	130000	525840420000.0	131353400000.0	938667800000.0	10842333000.0	525933180000.0	131344695000.0	938664700000.0	11030229000.0	538582060000.0	137398500000.0	980102150000.0	3335592400.0	93.56734	2.1177716	97.97562	74.985115	-612913450000.0	2.0389138e+20	2.043034e+20	3.7414754e+21	620.2325780391693
27	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	135000	582973100000.0	149783500000.0	1034892300000.0	11041671000.0	583068700000.0	149775290000.0	1034872500000.0	11309842000.0	596448840000.0	155980680000.0	1065317300000.0	1762294900.0	93.57363	2.1194506	97.950165	76.80171	-669629550000.0	2.1486702e+20	2.1525122e+20	3.8356882e+21	646.8453493118286
28	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	140000	643907300000.0	169513760000.0	1129049900000.0	11045268000.0	644002550000.0	169507200000.0	1129043600000.0	11338039000.0	658243700000.0	176012540000.0	1201396300000.0	10779660000.0	93.570564	2.1232748	97.92822	76.921974	-729828200000.0	2.2600666e+20	2.2634033e+20	3.873713e+21	673.425769329071
29	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	145000	708148850000.0	190847250000.0	1240116500000.0	10589192000.0	708244600000.0	190842040000.0	1240097100000.0	10984340000.0	723312500000.0	197511710000.0	1323033400000.0	340718600.0	93.57029	2.119033	97.921394	76.308846	-792488400000.0	2.3881933e+20	2.3913153e+20	3.8241455e+21	700.1805865764618
30	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	150000	774060800000.0	213817880000.0	1366029600000.0	8652037000.0	774155900000.0	213817460000.0	1365927500000.0	9155403000.0	790291550000.0	220779050000.0	1460048000000.0	103812264.0	93.57258	2.1204255	97.92503	77.0866	-856323400000.0	2.5161175e+20	2.5184616e+20	3.7052975e+21	726.9914224147797
31	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	155000	844671900000.0	238899150000.0	1482714400000.0	28057977000.0	844771600000.0	238905660000.0	1482549000000.0	28314024000.0	862012960000.0	246238280000.0	1594377800000.0	25345736.0	93.5692	2.1202664	97.9633	77.369545	-924724040000.0	2.6670354e+20	2.668006e+20	3.547618e+21	753.9046242237091
32	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	160000	918706600000.0	265283010000.0	1654399700000.0	5214101500.0	918812300000.0	265297820000.0	1654319300000.0	5786701300.0	937366300000.0	272986440000.0	1727692300000.0	19961810.0	93.569916	2.1203454	97.92747	78.63797	-996256800000.0	2.8382362e+20	2.8370744e+20	3.3379208e+21	780.7462959289551
33	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	165000	993445940000.0	295035400000.0	1801993800000.0	3052283600.0	993562500000.0	295060870000.0	1801935900000.0	3663487200.0	1013337800000.0	303217200000.0	1871588600000.0	1919433.6	93.571144	2.1153708	97.97253	77.84021	-1067760200000.0	3.014764e+20	3.0109266e+20	3.0832873e+21	807.636355638504
34	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	170000	1071317450000.0	327135170000.0	1928343300000.0	500563070.0	1071440500000.0	327173100000.0	1928525500000.0	1073662340.0	1092533550000.0	335809700000.0	2038412600000.0	2000789.5	93.57257	2.1198049	97.94682	76.436584	-1142014000000.0	3.219197e+20	3.21238e+20	2.7682723e+21	834.4837379455566
35	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	175000	1150560000000.0	362142860000.0	2093263500000.0	-43942720.0	1150690000000.0	362190770000.0	2093191800000.0	-75291500.0	1172931100000.0	371392740000.0	2166275400000.0	9274674000.0	93.56866	2.1262558	97.9145	73.97937	-1216860700000.0	3.4581154e+20	3.448113e+20	2.390059e+21	861.3822040557861
36	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	180000	1227007300000.0	401739200000.0	2278609600000.0	-46386000.0	1227138700000.0	401798200000.0	2278477800000.0	-82831970.0	1250209400000.0	411588130000.0	2334424600000.0	2271919.2	93.56639	2.1254864	97.96784	77.176926	-1287193900000.0	3.698768e+20	3.6867663e+20	1.9174294e+21	888.1565341949463
37	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	185000	1299414400000.0	446370550000.0	2383934000000.0	-50407844.0	1299535200000.0	446435130000.0	2384037000000.0	-88651970.0	1323350400000.0	456880230000.0	2504119300000.0	2391517.0	93.56656	2.1198	98.00334	75.30527	-1352362800000.0	3.918948e+20	3.9061057e+20	1.4021258e+21	915.0575103759766
38	0.010411462	9.313226e-10	0.010411461	0.010411461	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	190000	1362359600000.0	495962600000.0	2600374000000.0	-52396020.0	1362459400000.0	496025500000.0	2600381400000.0	-91486910.0	1386327700000.0	506978800000.0	2654186000000.0	2548849.8	93.560844	2.1243577	97.930756	77.02429	-1406376600000.0	4.2243796e+20	4.2128068e+20	9.011141e+20	942.0415058135986
